epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,2303.5,0.87462,1.17808,0.00525,0.92611,0.74419,0.76303,0.68101,1.36279,2.20581,0.00661,0.000128013,0.000128013,0.000128013
166,2317.47,0.88508,1.20825,0.0054,0.93589,0.73719,0.76239,0.67975,1.35244,2.20664,0.00658,0.000123986,0.000123986,0.000123986
167,2330.9,0.87822,1.21224,0.00548,0.92159,0.74511,0.76337,0.67793,1.359,2.20703,0.00657,0.000120016,0.000120016,0.000120016
168,2345.54,0.87342,1.17139,0.00529,0.92759,0.74642,0.76296,0.67865,1.36426,2.19597,0.00659,0.000116104,0.000116104,0.000116104
169,2358.35,0.86545,1.1851,0.00544,0.93414,0.742,0.76192,0.67796,1.36423,2.22898,0.00663,0.000112251,0.000112251,0.000112251
170,2371.57,0.88389,1.18264,0.00532,0.92667,0.74645,0.76194,0.67729,1.36487,2.22015,0.00663,0.000108457,0.000108457,0.000108457
171,2386.16,0.86216,1.17306,0.00532,0.92619,0.74837,0.76283,0.67924,1.35842,2.19892,0.00657,0.000104723,0.000104723,0.000104723
172,2400,0.8591,1.18782,0.00531,0.92988,0.74536,0.76331,0.67902,1.35719,2.18681,0.00657,0.000101051,0.000101051,0.000101051
173,2412.97,0.84868,1.18528,0.00522,0.92975,0.74658,0.76207,0.67729,1.36643,2.19243,0.00668,9.74399e-05,9.74399e-05,9.74399e-05
174,2426.86,0.85621,1.1711,0.00519,0.93223,0.74485,0.76246,0.6792,1.3657,2.18695,0.00665,9.38917e-05,9.38917e-05,9.38917e-05
175,2440.93,0.86791,1.18915,0.00523,0.93762,0.74366,0.76277,0.67948,1.36956,2.19664,0.0066,9.04067e-05,9.04067e-05,9.04067e-05
176,2453.24,0.86664,1.20365,0.0052,0.92526,0.74352,0.76399,0.68074,1.37029,2.19692,0.00663,8.69857e-05,8.69857e-05,8.69857e-05
177,2467.08,0.86975,1.1634,0.00522,0.91929,0.74788,0.76302,0.68043,1.36522,2.19645,0.0066,8.36293e-05,8.36293e-05,8.36293e-05
178,2480.97,0.84183,1.13222,0.0052,0.93895,0.743,0.76376,0.67989,1.36423,2.21207,0.00664,8.03382e-05,8.03382e-05,8.03382e-05
